======================
📘 INICIO DE LECTURA EXCEL
======================
📄 Fila 0 → ref=10107 | desc=Rejilla Reposa Patas de Plástico para conejos | padre=- | asociados=10107-10106-94073 | vacía=no
📄 Fila 1 → ref=10109 | desc=Cubeta Nido Milán con sandwich | padre=- | asociados=10140-10109-11737-10138-11653-94084 | vacía=no
📄 Fila 2 → ref=10110 | desc=Nido exterior con tapa para conejos modelo Milán | padre=- | asociados=10110-10137-10960-10957-94085 | vacía=no
📄 Fila 3 → ref=10114 | desc=Sandwich para Nido Penta de conejos | padre=- | asociados=94151-10114-10483 | vacía=no
📄 Fila 4 → ref=10121 | desc=Válvula bebedero Racor 70 mm. | padre=- | asociados=30358-50522-30359-10121-35042-35047-94148 | vacía=no
📄 Fila 5 → ref=10137 | desc=Nido con tapa para conejos modelo Bruselas | padre=- | asociados=10110-10137-10960-10957-94085 | vacía=no
📄 Fila 6 → ref=10138 | desc=Cubeta para Nido de conejos Bruselas | padre=- | asociados=10140-10109-11737-10138-11653-94084 | vacía=no
📄 Fila 7 → ref=10140 | desc=Cubeta para nido de conejos Penta sin rejilla | padre=- | asociados=10140-10109-11737-10138-11653-94084 | vacía=no
📄 Fila 8 → ref=10141 | desc=Comedero de Acero Inoxidable con Soporte 0,3 l. | padre=- | asociados=10141-10142-10143-10150-10151-10152-94152 | vacía=no
📄 Fila 9 → ref=10142 | desc=Comedero de Acero Inoxidable con Soporte 0,6 l. | padre=- | asociados=10141-10142-10143-10150-10151-10152-94152 | vacía=no
📄 Fila 10 → ref=10143 | desc=Comedero de Acero Inoxidable con Soporte 0,9 l. | padre=- | asociados=10141-10142-10143-10150-10151-10152-94152 | vacía=no
📄 Fila 11 → ref=10147 | desc=Tubo de goma transparente 5x9 mm. - 25 m. | padre=- | asociados=10281-10282-10283-35028-10149-10147-10322-94208 | vacía=no
📄 Fila 12 → ref=10149 | desc=Tubo de goma transparente 8x14 mm. - 25 m. | padre=- | asociados=10281-10282-10283-35028-10149-10147-10322-94208 | vacía=no
📄 Fila 13 → ref=10150 | desc=Comedero acero inoxidable con gancho - 0,3 l. | padre=- | asociados=10141-10142-10143-10150-10151-10152-94152 | vacía=no
📄 Fila 14 → ref=10151 | desc=Comedero acero inoxidable con gancho - 0,6 l. | padre=- | asociados=10141-10142-10143-10150-10151-10152-94152 | vacía=no
📄 Fila 15 → ref=10152 | desc=Comedero acero inoxidable con gancho - 0,9 l. | padre=- | asociados=10141-10142-10143-10150-10151-10152-94152 | vacía=no
📄 Fila 16 → ref=10222 | desc=Cilindro de machos Mod- 78 | padre=- | asociados=- | vacía=no
📄 Fila 17 → ref=10224 | desc=Suelo de Chapa para Jaula de conejos Macho | padre=- | asociados=- | vacía=no
📄 Fila 18 → ref=10238 | desc=Bandeja colectora para cilindro de machos | padre=- | asociados=- | vacía=no
📄 Fila 19 → ref=10240 | desc=Forrajera para cilindro de machos | padre=- | asociados=- | vacía=no
📄 Fila 20 → ref=10242 | desc=Tolva Comedero para conejos con tapa - 3 departamentos | padre=- | asociados=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | vacía=no
📄 Fila 21 → ref=10243 | desc=Tolva Comedero para conejos con tapa - 4 departamentos | padre=- | asociados=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | vacía=no
📄 Fila 22 → ref=10247 | desc=Bebedero Mixto para conejos con boya | padre=- | asociados=10378-10379-10380-10381-10247-10248-10321-94078 | vacía=no
📄 Fila 23 → ref=10248 | desc=Bebedero Mixto para conejos con botella 2 l. | padre=- | asociados=10378-10379-10380-10381-10247-10248-10321-94078 | vacía=no
📄 Fila 24 → ref=10253 | desc=Tolva Comedero para conejos - 1 departamento | padre=- | asociados=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | vacía=no
📄 Fila 25 → ref=10255 | desc=Tolva Comedero para conejos - 4 departamentos | padre=- | asociados=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | vacía=no
📄 Fila 26 → ref=10257 | desc=Tolva Comedero para conejos con tapa - 1 departamento | padre=- | asociados=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | vacía=no
📄 Fila 27 → ref=10258 | desc=Tolva Comedero para conejos con tapa - 2 departamentos | padre=- | asociados=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | vacía=no
📄 Fila 28 → ref=10261 | desc=Suelo metálico para jaula de conejos Modelo DD | padre=- | asociados=10785-10261-10326-94074 | vacía=no
📄 Fila 29 → ref=10264 | desc=Derivación en "T" | padre=- | asociados=30596-30004-10274-10280-10265-10373-10264-30003-35041-35040-94144 | vacía=no
📄 Fila 30 → ref=10265 | desc=Empalme de tubería de goma flexible | padre=- | asociados=30596-30004-10274-10280-10265-10373-10264-30003-35041-35040-94144 | vacía=no
📄 Fila 31 → ref=10266 | desc=Rastrillo de limpieza para conejos | padre=- | asociados=70219-70220-70221-10266-94137 | vacía=no
📄 Fila 32 → ref=10267 | desc=Alargadera recta para bebedero de conejos - 90 mm. | padre=- | asociados=10299-10268-10267-10279-94076 | vacía=no
📄 Fila 33 → ref=10268 | desc=Alargadera lisa para bebedero de conejos - 55 mm. | padre=- | asociados=10299-10268-10267-10279-94076 | vacía=no
📄 Fila 34 → ref=10269 | desc=Jaula metálica para transporte de conejos | padre=- | asociados=- | vacía=no
📄 Fila 35 → ref=10274 | desc=Reducción tubo de 10 a 7 mm. | padre=- | asociados=30596-30004-10274-10280-10265-10373-10264-30003-35041-35040-94144 | vacía=no
📄 Fila 36 → ref=10279 | desc=Alargadera recta para bebedero de chupete - 120 mm. | padre=- | asociados=10299-10268-10267-10279-94076 | vacía=no
📄 Fila 37 → ref=10280 | desc=Derivación en "T" reductora 10/7 | padre=- | asociados=30596-30004-10274-10280-10265-10373-10264-30003-35041-35040-94144 | vacía=no
📄 Fila 38 → ref=10281 | desc=Tubería flexible de goma gris 8x14 - Rollo 25 m. | padre=- | asociados=10281-10282-10283-35028-10149-10147-10322-94208 | vacía=no
📄 Fila 39 → ref=10282 | desc=Tubería flexible de goma gris 8x14 - Rollo 50 m. | padre=- | asociados=10281-10282-10283-35028-10149-10147-10322-94208 | vacía=no
📄 Fila 40 → ref=10283 | desc=Tubería flexible de goma | padre=- | asociados=10281-10282-10283-35028-10149-10147-10322-94208 | vacía=no
📄 Fila 41 → ref=10285 | desc=Empalme para tubo rígido PVC | padre=- | asociados=10465-10441-10442-30356-10440-10285-30363-35051-94143 | vacía=no
📄 Fila 42 → ref=10288 | desc=Tolva Comedero para conejos - 3 departamentos | padre=- | asociados=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | vacía=no
📄 Fila 43 → ref=10295 | desc=Botella de plástico para bebedero Mixto - 2 l. | padre=- | asociados=10295-10387-10386-94075 | vacía=no
📄 Fila 44 → ref=10297 | desc=Válvula Chupete para conejos | padre=- | asociados=10309-10312-10327-10328-10298-10297-94077 | vacía=no
📄 Fila 45 → ref=10298 | desc=Bebedero Chupete para conejos Mod. W-2000 | padre=- | asociados=10309-10312-10327-10328-10298-10297-94077 | vacía=no
📄 Fila 46 → ref=10299 | desc=Alargadera acodada para bebedero de chupete | padre=- | asociados=10299-10268-10267-10279-94076 | vacía=no
📄 Fila 47 → ref=10307 | desc=Jaula de plástico para transporte - 3 puertas | padre=- | asociados=- | vacía=no
📄 Fila 48 → ref=10308 | desc=Pala para pienso de aluminio | padre=- | asociados=70306-71076-10308-10315-94140 | vacía=no
📄 Fila 49 → ref=10309 | desc=Bebedero Chupete de acero inoxidable con soporte | padre=- | asociados=10309-10312-10327-10328-10298-10297-94077 | vacía=no
📄 Fila 50 → ref=10310 | desc=Tolva Comedero Especial para conejos - 2 departamentos | padre=- | asociados=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | vacía=no
📄 Fila 51 → ref=10312 | desc=Bebedero Chupete Reforzado de acero inoxidable con soporte | padre=- | asociados=10309-10312-10327-10328-10298-10297-94077 | vacía=no
📄 Fila 52 → ref=10313 | desc=Goma Sebs para bebedero de boya mixto | padre=- | asociados=- | vacía=no
📄 Fila 53 → ref=10315 | desc=Pala galvanizada para pienso | padre=- | asociados=70306-71076-10308-10315-94140 | vacía=no
📄 Fila 54 → ref=10317 | desc=Tapón inferior bebedero mixto conejos | padre=- | asociados=- | vacía=no
📄 Fila 55 → ref=10318 | desc=Flotador gris para Bebedero mixto de conejos | padre=- | asociados=- | vacía=no
📄 Fila 56 → ref=10319 | desc=Tapa Superior Bebedero Boya Mixto | padre=- | asociados=- | vacía=no
📄 Fila 57 → ref=10321 | desc=Bebedero Mixto para conejos sin botella | padre=- | asociados=10378-10379-10380-10381-10247-10248-10321-94078 | vacía=no
📄 Fila 58 → ref=10322 | desc=Tubo Rigido PVC 22x22 metro lineal | padre=- | asociados=10281-10282-10283-35028-10149-10147-10322-94208 | vacía=no
📄 Fila 59 → ref=10326 | desc=Suelo metálico para jaula de conejos Modelo B | padre=- | asociados=10785-10261-10326-94074 | vacía=no
📄 Fila 60 → ref=10327 | desc=Bebedero Chupete para conejos con botella 0,50 l. | padre=- | asociados=10309-10312-10327-10328-10298-10297-94077 | vacía=no
📄 Fila 61 → ref=10328 | desc=Bebedero Chupete para conejos con Botella 1 l. | padre=- | asociados=10309-10312-10327-10328-10298-10297-94077 | vacía=no
📄 Fila 62 → ref=10334 | desc=Tolva Comedero para conejos - 10 Huecos | padre=- | asociados=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | vacía=no
📄 Fila 63 → ref=10345 | desc=Tolva Comedero para conejos con tapa - 10 Huecos | padre=- | asociados=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | vacía=no
📄 Fila 64 → ref=10370 | desc=Bebedero Logis con válvula recta | padre=- | asociados=10370-10372-35025-10371-94079 | vacía=no
📄 Fila 65 → ref=10371 | desc=Bebedero Logis para tubo rígido | padre=- | asociados=10370-10372-35025-10371-94079 | vacía=no
📄 Fila 66 → ref=10372 | desc=Bebedero Logis con válvula acodada | padre=- | asociados=10370-10372-35025-10371-94079 | vacía=no
📄 Fila 67 → ref=10373 | desc=Codo de Plástico | padre=- | asociados=30596-30004-10274-10280-10265-10373-10264-30003-35041-35040-94144 | vacía=no
