======================
📄 DUMP FILAS LEÍDAS
======================
Fila #0 → REF=10107 | PADRE=- | ASOC=10107-10106-94073 | DESC=Rejilla Reposa Patas de Plástico para c
Fila #1 → REF=10109 | PADRE=- | ASOC=10140-10109-11737-10138-11653-94084 | DESC=Cubeta Nido Milán con sandwich
Fila #2 → REF=10110 | PADRE=- | ASOC=10110-10137-10960-10957-94085 | DESC=Nido exterior con tapa para conejos mode
Fila #3 → REF=10114 | PADRE=- | ASOC=94151-10114-10483 | DESC=Sandwich para Nido Penta de conejos
Fila #4 → REF=10121 | PADRE=- | ASOC=30358-50522-30359-10121-35042-35047-94148 | DESC=Válvula bebedero Racor 70 mm.
Fila #5 → REF=10137 | PADRE=- | ASOC=10110-10137-10960-10957-94085 | DESC=Nido con tapa para conejos modelo Brusel
Fila #6 → REF=10138 | PADRE=- | ASOC=10140-10109-11737-10138-11653-94084 | DESC=Cubeta para Nido de conejos Bruselas
Fila #7 → REF=10140 | PADRE=- | ASOC=10140-10109-11737-10138-11653-94084 | DESC=Cubeta para nido de conejos Penta sin re
Fila #8 → REF=10141 | PADRE=- | ASOC=10141-10142-10143-10150-10151-10152-94152 | DESC=Comedero de Acero Inoxidable con Soporte
Fila #9 → REF=10142 | PADRE=- | ASOC=10141-10142-10143-10150-10151-10152-94152 | DESC=Comedero de Acero Inoxidable con Soporte
Fila #10 → REF=10143 | PADRE=- | ASOC=10141-10142-10143-10150-10151-10152-94152 | DESC=Comedero de Acero Inoxidable con Soporte
Fila #11 → REF=10147 | PADRE=- | ASOC=10281-10282-10283-35028-10149-10147-10322-94208 | DESC=Tubo de goma transparente 5x9 mm. - 25 m
Fila #12 → REF=10149 | PADRE=- | ASOC=10281-10282-10283-35028-10149-10147-10322-94208 | DESC=Tubo de goma transparente 8x14 mm. - 25 
Fila #13 → REF=10150 | PADRE=- | ASOC=10141-10142-10143-10150-10151-10152-94152 | DESC=Comedero acero inoxidable con gancho - 0
Fila #14 → REF=10151 | PADRE=- | ASOC=10141-10142-10143-10150-10151-10152-94152 | DESC=Comedero acero inoxidable con gancho - 0
Fila #15 → REF=10152 | PADRE=- | ASOC=10141-10142-10143-10150-10151-10152-94152 | DESC=Comedero acero inoxidable con gancho - 0
Fila #16 → REF=10222 | PADRE=- | ASOC=- | DESC=Cilindro de machos Mod- 78
Fila #17 → REF=10224 | PADRE=- | ASOC=- | DESC=Suelo de Chapa para Jaula de conejos Mac
Fila #18 → REF=10238 | PADRE=- | ASOC=- | DESC=Bandeja colectora para cilindro de macho
Fila #19 → REF=10240 | PADRE=- | ASOC=- | DESC=Forrajera para cilindro de machos
Fila #20 → REF=10242 | PADRE=- | ASOC=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | DESC=Tolva Comedero para conejos con tapa - 3
Fila #21 → REF=10243 | PADRE=- | ASOC=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | DESC=Tolva Comedero para conejos con tapa - 4
Fila #22 → REF=10247 | PADRE=- | ASOC=10378-10379-10380-10381-10247-10248-10321-94078 | DESC=Bebedero Mixto para conejos con boya
Fila #23 → REF=10248 | PADRE=- | ASOC=10378-10379-10380-10381-10247-10248-10321-94078 | DESC=Bebedero Mixto para conejos con botella 
Fila #24 → REF=10253 | PADRE=- | ASOC=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | DESC=Tolva Comedero para conejos - 1 departam
Fila #25 → REF=10255 | PADRE=- | ASOC=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | DESC=Tolva Comedero para conejos - 4 departam
Fila #26 → REF=10257 | PADRE=- | ASOC=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | DESC=Tolva Comedero para conejos con tapa - 1
Fila #27 → REF=10258 | PADRE=- | ASOC=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | DESC=Tolva Comedero para conejos con tapa - 2
Fila #28 → REF=10261 | PADRE=- | ASOC=10785-10261-10326-94074 | DESC=Suelo metálico para jaula de conejos Mo
Fila #29 → REF=10264 | PADRE=- | ASOC=30596-30004-10274-10280-10265-10373-10264-30003-35041-35040-94144 | DESC=Derivación en "T"
Fila #30 → REF=10265 | PADRE=- | ASOC=30596-30004-10274-10280-10265-10373-10264-30003-35041-35040-94144 | DESC=Empalme de tubería de goma flexible
Fila #31 → REF=10266 | PADRE=- | ASOC=70219-70220-70221-10266-94137 | DESC=Rastrillo de limpieza para conejos
Fila #32 → REF=10267 | PADRE=- | ASOC=10299-10268-10267-10279-94076 | DESC=Alargadera recta para bebedero de conejo
Fila #33 → REF=10268 | PADRE=- | ASOC=10299-10268-10267-10279-94076 | DESC=Alargadera lisa para bebedero de conejos
Fila #34 → REF=10269 | PADRE=- | ASOC=- | DESC=Jaula metálica para transporte de conej
Fila #35 → REF=10274 | PADRE=- | ASOC=30596-30004-10274-10280-10265-10373-10264-30003-35041-35040-94144 | DESC=Reducción tubo de 10 a 7 mm.
Fila #36 → REF=10279 | PADRE=- | ASOC=10299-10268-10267-10279-94076 | DESC=Alargadera recta para bebedero de chupet
Fila #37 → REF=10280 | PADRE=- | ASOC=30596-30004-10274-10280-10265-10373-10264-30003-35041-35040-94144 | DESC=Derivación en "T" reductora 10/7
Fila #38 → REF=10281 | PADRE=- | ASOC=10281-10282-10283-35028-10149-10147-10322-94208 | DESC=Tubería flexible de goma gris 8x14 - Ro
Fila #39 → REF=10282 | PADRE=- | ASOC=10281-10282-10283-35028-10149-10147-10322-94208 | DESC=Tubería flexible de goma gris 8x14 - Ro
Fila #40 → REF=10283 | PADRE=- | ASOC=10281-10282-10283-35028-10149-10147-10322-94208 | DESC=Tubería flexible de goma
Fila #41 → REF=10285 | PADRE=- | ASOC=10465-10441-10442-30356-10440-10285-30363-35051-94143 | DESC=Empalme para tubo rígido PVC
Fila #42 → REF=10288 | PADRE=- | ASOC=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | DESC=Tolva Comedero para conejos - 3 departam
Fila #43 → REF=10295 | PADRE=- | ASOC=10295-10387-10386-94075 | DESC=Botella de plástico para bebedero Mixto
Fila #44 → REF=10297 | PADRE=- | ASOC=10309-10312-10327-10328-10298-10297-94077 | DESC=Válvula Chupete para conejos
Fila #45 → REF=10298 | PADRE=- | ASOC=10309-10312-10327-10328-10298-10297-94077 | DESC=Bebedero Chupete para conejos Mod. W-200
Fila #46 → REF=10299 | PADRE=- | ASOC=10299-10268-10267-10279-94076 | DESC=Alargadera acodada para bebedero de chup
Fila #47 → REF=10307 | PADRE=- | ASOC=- | DESC=Jaula de plástico para transporte - 3 p
Fila #48 → REF=10308 | PADRE=- | ASOC=70306-71076-10308-10315-94140 | DESC=Pala para pienso de aluminio
Fila #49 → REF=10309 | PADRE=- | ASOC=10309-10312-10327-10328-10298-10297-94077 | DESC=Bebedero Chupete de acero inoxidable con
Fila #50 → REF=10310 | PADRE=- | ASOC=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | DESC=Tolva Comedero Especial para conejos - 2
Fila #51 → REF=10312 | PADRE=- | ASOC=10309-10312-10327-10328-10298-10297-94077 | DESC=Bebedero Chupete Reforzado de acero inox
Fila #52 → REF=10313 | PADRE=- | ASOC=- | DESC=Goma Sebs para bebedero de boya mixto
Fila #53 → REF=10315 | PADRE=- | ASOC=70306-71076-10308-10315-94140 | DESC=Pala galvanizada para pienso
Fila #54 → REF=10317 | PADRE=- | ASOC=- | DESC=Tapón inferior bebedero mixto conejos 
Fila #55 → REF=10318 | PADRE=- | ASOC=- | DESC=Flotador gris para Bebedero mixto de con
Fila #56 → REF=10319 | PADRE=- | ASOC=- | DESC=Tapa Superior Bebedero Boya Mixto
Fila #57 → REF=10321 | PADRE=- | ASOC=10378-10379-10380-10381-10247-10248-10321-94078 | DESC=Bebedero Mixto para conejos sin botella
Fila #58 → REF=10322 | PADRE=- | ASOC=10281-10282-10283-35028-10149-10147-10322-94208 | DESC=Tubo Rigido PVC 22x22 metro lineal
Fila #59 → REF=10326 | PADRE=- | ASOC=10785-10261-10326-94074 | DESC=Suelo metálico para jaula de conejos Mo
Fila #60 → REF=10327 | PADRE=- | ASOC=10309-10312-10327-10328-10298-10297-94077 | DESC=Bebedero Chupete para conejos con botell
Fila #61 → REF=10328 | PADRE=- | ASOC=10309-10312-10327-10328-10298-10297-94077 | DESC=Bebedero Chupete para conejos con Botell
Fila #62 → REF=10334 | PADRE=- | ASOC=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | DESC=Tolva Comedero para conejos - 10 Huecos
Fila #63 → REF=10345 | PADRE=- | ASOC=10253-11315-10310-10288-10255-10334-10257-10258-10242-10243-10345-94081 | DESC=Tolva Comedero para conejos con tapa - 1
Fila #64 → REF=10370 | PADRE=- | ASOC=10370-10372-35025-10371-94079 | DESC=Bebedero Logis con válvula recta
Fila #65 → REF=10371 | PADRE=- | ASOC=10370-10372-35025-10371-94079 | DESC=Bebedero Logis para tubo rígido
Fila #66 → REF=10372 | PADRE=- | ASOC=10370-10372-35025-10371-94079 | DESC=Bebedero Logis con válvula acodada
Fila #67 → REF=10373 | PADRE=- | ASOC=30596-30004-10274-10280-10265-10373-10264-30003-35041-35040-94144 | DESC=Codo de Plástico
Fila #68 → REF=10378 | PADRE=- | ASOC=10378-10379-10380-10381-10247-10248-10321-94078 | DESC=Bebedero Mini con boya
Fila #69 → REF=10379 | PADRE=- | ASOC=10378-10379-10380-10381-10247-10248-10321-94078 | DESC=Bebedero Mini con botella 0,5 l.
Fila #70 → REF=10380 | PADRE=- | ASOC=10378-10379-10380-10381-10247-10248-10321-94078 | DESC=Bebedero Mini con botella de 2 l.
Fila #71 → REF=10381 | PADRE=- | ASOC=10378-10379-10380-10381-10247-10248-10321-94078 | DESC=Bebedero Mini sin botella
Fila #72 → REF=10386 | PADRE=- | ASOC=10295-10387-10386-94075 | DESC=Botella de plástico para bebedero Mini 
Fila #73 → REF=10387 | PADRE=- | ASOC=10295-10387-10386-94075 | DESC=Botella de plástico para bebedero Mini 
Fila #74 → REF=10440 | PADRE=- | ASOC=10465-10441-10442-30356-10440-10285-30363-35051-94143 | DESC=Abrazadera Sinfín
Fila #75 → REF=10441 | PADRE=- | ASOC=10465-10441-10442-30356-10440-10285-30363-35051-94143 | DESC=Racor principio ABS negro
Fila #76 → REF=10442 | PADRE=- | ASOC=10465-10441-10442-30356-10440-10285-30363-35051-94143 | DESC=Racor ampliación ABS negro
Fila #77 → REF=10463 | PADRE=- | ASOC=- | DESC=Taza bebedero Logis
Fila #78 → REF=10464 | PADRE=- | ASOC=94153-10464-10474 | DESC=Válvula recta para Bebedero Logis
Fila #79 → REF=10465 | PADRE=- | ASOC=10465-10441-10442-30356-10440-10285-30363-35051-94143 | DESC=Junta Bebedero Logis a Tubo Rigido
Fila #80 → REF=10469 | PADRE=- | ASOC=10469-30819-94209 | DESC=Filtro de Agua con llave
Fila #81 → REF=10470 | PADRE=- | ASOC=30096-35033-35077-10470-10475-94141 | DESC=Depósito Regulador de Agua 32 l.
Fila #82 → REF=10471 | PADRE=- | ASOC=- | DESC=Adaptador de chapa para bebedero Logis/M
Fila #83 → REF=10472 | PADRE=- | ASOC=10472-30716-94210 | DESC=Racor Salida Depósito
Fila #84 → REF=10474 | PADRE=- | ASOC=94153-10464-10474 | DESC=Válvula acodada para Bebedero Logis
Fila #85 → REF=10475 | PADRE=- | ASOC=30096-35033-35077-10470-10475-94141 | DESC=Deposito Regulador de Agua 55 l.
Fila #86 → REF=10483 | PADRE=- | ASOC=94151-10114-10483 | DESC=Sandwich para fondo de Nido Milán
Fila #87 → REF=10782 | PADRE=- | ASOC=94154-10782-10967 | DESC=Bandeja Colectora Penta - 2 departamento
Fila #88 → REF=10785 | PADRE=- | ASOC=10785-10261-10326-94074 | DESC=Suelo plástico 61x50 cms. Mod. Penta
Fila #89 → REF=10798 | PADRE=- | ASOC=30209-30210-30211-30798-90830-94147 | DESC=Conjunto Nipel y Tuerca 3/8"
Fila #90 → REF=10799 | PADRE=- | ASOC=- | DESC=Pata 1 Piso Modelo Penta
Fila #91 → REF=10938 | PADRE=- | ASOC=- | DESC=Tapa Plástico Nido-Cuni
Fila #92 → REF=10939 | PADRE=- | ASOC=- | DESC=Cubeta Nido-Cuni
Fila #93 → REF=10950 | PADRE=- | ASOC=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | DESC=Jaula para conejos Penta 2 Plástico
Fila #94 → REF=10952 | PADRE=- | ASOC=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | DESC=Jaula para conejos Penta 2 Metal
Fila #95 → REF=10954 | PADRE=- | ASOC=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | DESC=Jaula para conejos Penta 4 Plástico
Fila #96 → REF=10956 | PADRE=- | ASOC=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | DESC=Jaula para conejos Penta 4 Metal
Fila #97 → REF=10957 | PADRE=- | ASOC=10110-10137-10960-10957-94085 | DESC=Nido Penta para conejos
Fila #98 → REF=10960 | PADRE=- | ASOC=10110-10137-10960-10957-94085 | DESC=Nido-Cuni
Fila #99 → REF=10961 | PADRE=- | ASOC=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | DESC=Jaula para conejos Penta 4 Plástico - 2
Fila #100 → REF=10962 | PADRE=- | ASOC=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | DESC=Jaula para conejos Penta 4 Metal - 2 dep
Fila #101 → REF=10963 | PADRE=- | ASOC=10952-10950-10964-10963-10966-10965-10954-10961-10956-10962-94082 | DESC=Jaula para conejos Penta 3 Plástico
