======================
📦 DUMP ARRAY ORDENADO
======================
### Grupo parent: 215 elementos ###
   → REF=70605 | PADRE=- | DESC=Recogedor Estiércol con Rastrillo
   → REF=94001 | PADRE=- | DESC=Bebederos de Cazoleta
   → REF=94002 | PADRE=- | DESC=Bebederos Cubo
   → REF=94003 | PADRE=- | DESC=Bebederos de Gran Capacidad
   → REF=94004 | PADRE=- | DESC=Bebederos de nivel constante
   → REF=94005 | PADRE=- | DESC=Bebederos  Personalizables
   → REF=94006 | PADRE=- | DESC=Bebederos de plástico Eco
   → REF=94007 | PADRE=- | DESC=Comedero para gallinas
   → REF=94008 | PADRE=- | DESC=Comedero para pollitos
   → REF=94009 | PADRE=- | DESC=Comederos de exterior
   → REF=94010 | PADRE=- | DESC=Comederos de Gran Capacidad
   → REF=94011 | PADRE=- | DESC=Tolvas Personalizables
   → REF=94012 | PADRE=- | DESC=Tolvas Colgantes Metálicas
   → REF=94013 | PADRE=- | DESC=Tolvas Colgantes de plástico
   → REF=94014 | PADRE=- | DESC=Kit ponederos confort
   → REF=94015 | PADRE=- | DESC=Nidos Confort
   → REF=94016 | PADRE=- | DESC=Nidos Platinum
   → REF=94017 | PADRE=- | DESC=Ponederos Confort
   → REF=94018 | PADRE=- | DESC=Ponederos Platinum
   → REF=94019 | PADRE=- | DESC=Ponederos Colectavi Central
   → REF=94020 | PADRE=- | DESC=Ponederos Colectavi
   → REF=94021 | PADRE=- | DESC=Ponederos de Suelo de Alambre
   → REF=94022 | PADRE=- | DESC=Batería de ponedoras
   → REF=94023 | PADRE=- | DESC=Jaula de pollos de engorde
   → REF=94024 | PADRE=- | DESC=Jaula de exposición
   → REF=94025 | PADRE=- | DESC=Nacedora de aves redondas
   → REF=94026 | PADRE=- | DESC=Criadora de pollitos rectangulares
   → REF=94027 | PADRE=- | DESC=Parque de pollitos
   → REF=94028 | PADRE=- | DESC=Incubadoras y nacedoras Real
   → REF=94029 | PADRE=- | DESC=Incubadoras y nacedoras Lumia
   → REF=94030 | PADRE=- | DESC=Casetas de madera
   → REF=94031 | PADRE=- | DESC=Bebederos de 1ª y 2ª edad
   → REF=94032 | PADRE=- | DESC=Gallineros Country
   → REF=94033 | PADRE=- | DESC=Gallineros móviles Free-Range
   → REF=94034 | PADRE=- | DESC=Gallineros Red-Roof
   → REF=94035 | PADRE=- | DESC=Aseladero de suelo para aves
   → REF=94036 | PADRE=- | DESC=Anillas de plástico para gallinas
   → REF=94037 | PADRE=- | DESC=Hueveras
   → REF=94038 | PADRE=- | DESC=Puerta guillotina para gallinero
   → REF=94039 | PADRE=- | DESC=Aseladero de suelo para pollitos
   → REF=94040 | PADRE=- | DESC=Corrales Móviles
   → REF=94041 | PADRE=- | DESC=Desplumadora
   → REF=94042 | PADRE=- | DESC=Tanque de escaldado
   → REF=94043 | PADRE=- | DESC=Caseta para patos
   → REF=94044 | PADRE=- | DESC=Comederos de exterior patos
   → REF=94045 | PADRE=- | DESC=Comedero Tolva Patos Safe-Feed
   → REF=94046 | PADRE=- | DESC=Bebederos Cleansy para perros
   → REF=94047 | PADRE=- | DESC=Bebedero chupete para perros
   → REF=94048 | PADRE=- | DESC=Bebederos Acuacán
   → REF=94049 | PADRE=- | DESC=Bebederos con solapa
   → REF=94050 | PADRE=- | DESC=Comedero/Bebedero de viaje
   → REF=94051 | PADRE=- | DESC=Bebederos P-3
   → REF=94052 | PADRE=- | DESC=Bebederos P-5
   → REF=94053 | PADRE=- | DESC=Bebederos para Pequeños Animales
   → REF=94054 | PADRE=- | DESC=Bebederos de hormigón
   → REF=94055 | PADRE=- | DESC=Bebedero de botella para perros
   → REF=94056 | PADRE=- | DESC=Comederos tolvas Automáticas
   → REF=94057 | PADRE=- | DESC=Comederos tolva manuales
   → REF=94058 | PADRE=- | DESC=Platos con soporte
   → REF=94059 | PADRE=- | DESC=Platos de acero inoxidable
   → REF=94060 | PADRE=- | DESC=Platos comedero antideslizantes
   → REF=94062 | PADRE=- | DESC=Placas térmicas poliéster
   → REF=94063 | PADRE=- | DESC=Placas Slat
   → REF=94064 | PADRE=- | DESC=Correa para perros
   → REF=94065 | PADRE=- | DESC=Arneses para perros
   → REF=94066 | PADRE=- | DESC=Laterales / Frentes de malla
   → REF=94067 | PADRE=- | DESC=Boxes para cachorros
   → REF=94068 | PADRE=- | DESC=Jaula de exposición para perros
   → REF=94069 | PADRE=- | DESC=Box para perros
   → REF=94070 | PADRE=- | DESC=Casetas para perros y gatos
   → REF=94071 | PADRE=- | DESC=Aseos para gatos
   → REF=94072 | PADRE=- | DESC=Puertas
   → REF=94073 | PADRE=- | DESC=Rejillas Reposa Patas
   → REF=94075 | PADRE=- | DESC=Botellas de plástico para bebederos
   → REF=94076 | PADRE=- | DESC=Alargadera para bebedero de conejos
   → REF=94077 | PADRE=- | DESC=Bebedero chupete para conejos
   → REF=94078 | PADRE=- | DESC=Bebederos Nivel Constante para conejos
   → REF=94079 | PADRE=- | DESC=Bebederos Varilla Emujador conejos
   → REF=94081 | PADRE=- | DESC=Tolva comedero para conejos
   → REF=94082 | PADRE=- | DESC=Jaula para conejos Penta
   → REF=94083 | PADRE=- | DESC=Jaulas 1 dpto con patas.
   → REF=94084 | PADRE=- | DESC=Cubeta para nidos
   → REF=94085 | PADRE=- | DESC=Nido para conejos
   → REF=94086 | PADRE=- | DESC=Jaula para pequeños animales
   → REF=94087 | PADRE=- | DESC=Protectores anti-aves
   → REF=94088 | PADRE=- | DESC=Bebedero palomas capilla
   → REF=94089 | PADRE=- | DESC=Comederos para colgar
   → REF=94090 | PADRE=- | DESC=Comederos de suelo
   → REF=94091 | PADRE=- | DESC=Jaulas Modelo Europa
   → REF=94092 | PADRE=- | DESC=Jaulas Pelechero
   → REF=94094 | PADRE=- | DESC=Nidos palomas
   → REF=94095 | PADRE=- | DESC=
   → REF=94096 | PADRE=- | DESC=Batería para codornices
   → REF=94097 | PADRE=- | DESC=Jaula terrero para perdices
   → REF=94098 | PADRE=- | DESC=Soportes jaulas de perdices
   → REF=94099 | PADRE=- | DESC=Pulpitillos Telescópicos
   → REF=94100 | PADRE=- | DESC=Bebederos Chupete para perdices
   → REF=94101 | PADRE=- | DESC=Bebederos de campo para perdices
   → REF=94102 | PADRE=- | DESC=Bocas antidesperdicio
   → REF=94103 | PADRE=- | DESC=Tolva exterior para aves
   → REF=94104 | PADRE=- | DESC=Ahuyentadores / Espantapájaros
   → REF=94105 | PADRE=- | DESC=Exterminador de Insectos
   → REF=94106 | PADRE=- | DESC=Jaulas captura aves
   → REF=94107 | PADRE=- | DESC=Jaula de captura
   → REF=94108 | PADRE=- | DESC=Ratoneras
   → REF=94109 | PADRE=- | DESC=Ratoneras multicaptura
   → REF=94110 | PADRE=- | DESC=Bebedero pájaros nivel constante
   → REF=94111 | PADRE=- | DESC=Comederos para colgar para pájaros
   → REF=94112 | PADRE=- | DESC=Comederos lineales para pájaros
   → REF=94113 | PADRE=- | DESC=Comederos tolva
   → REF=94114 | PADRE=- | DESC=Forros nido de pájaros
   → REF=94115 | PADRE=- | DESC=Jaulas con bandeja
   → REF=94116 | PADRE=- | DESC=Jaulas con ruedas
   → REF=94117 | PADRE=- | DESC=Jaulas desmontables
   → REF=94118 | PADRE=- | DESC=Jaulas plegables
   → REF=94119 | PADRE=- | DESC=Perchas para pájaros
   → REF=94120 | PADRE=- | DESC=Porta-nidos
   → REF=94121 | PADRE=- | DESC=Bebederos nivel constante para caballos
   → REF=94122 | PADRE=- | DESC=Comedero para caballos manuales
   → REF=94123 | PADRE=- | DESC=Palas caballos
   → REF=94124 | PADRE=- | DESC=Bebederos de metro ovino
   → REF=94125 | PADRE=- | DESC=Bebederos cerdos
   → REF=94126 | PADRE=- | DESC=Comedero Corderos
   → REF=94127 | PADRE=- | DESC=Cubos corderos y terneros
   → REF=94128 | PADRE=- | DESC=Forrajera de pared para ovejas
   → REF=94129 | PADRE=- | DESC=Bebedero empujador ovejas
   → REF=94130 | PADRE=- | DESC=Bebederos de nivel constante para ovino
   → REF=94131 | PADRE=- | DESC=Pastores electricos 230V
   → REF=94132 | PADRE=- | DESC=Pastores electricos 12/ 230V
   → REF=94133 | PADRE=- | DESC=Pastores solares
   → REF=94134 | PADRE=- | DESC=Cintas, Hilos y Cordones Conductores
   → REF=94136 | PADRE=- | DESC=Calefactores eléctricos
